gloss,video_id,url,split
book,69241,http://aslbricks.org/New/ASL-Videos/book.mp4,train
book,65225,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,train
book,68011,https://www.youtube.com/watch?v=0UsjUE-TXns,train
book,68208,https://www.youtube.com/watch?v=1QOYOZ3g-aY,train
book,68012,https://www.youtube.com/watch?v=aGtIHKEdCds,train
book,70212,https://www.youtube.com/watch?v=hjS0dQDgbjo,val
book,70266,https://www.youtube.com/watch?v=WGfiiDgrq1I,train
book,07085,http://www.aslpro.com/main/b/book_english_grammar.swf,train
book,07086,http://www.aslpro.com/main/b/book_geography.swf,train
book,07087,http://www.aslpro.com/main/b/book_geometry.swf,train
book,07069,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,train
book,07088,http://www.aslpro.com/main/b/book_history.swf,train
book,07089,http://www.aslpro.com/main/b/book_law.swf,train
book,07090,http://www.aslpro.com/main/b/book_literature.swf,train
book,07091,http://www.aslpro.com/main/b/book_math.swf,train
book,07092,http://www.aslpro.com/main/b/book_medicine.swf,test
book,07093,http://www.aslpro.com/main/b/book_music.swf,test
book,07068,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,train
book,07094,http://www.aslpro.com/main/b/book_photography.swf,val
book,07095,http://www.aslpro.com/main/b/book_science.swf,test
book,07096,http://www.aslpro.com/main/b/book_spelling.swf,val
book,07097,http://www.aslpro.com/main/b/book.swf,train
book,07070,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,train
book,07098,http://www.aslpro.com/main/b/book_trigonometry.swf,val
book,07099,http://www.aslsearch.com/signs/videos/book.mp4,val
book,07071,https://www.handspeak.com/word/b/book2.mp4,train
book,07072,https://www.handspeak.com/word/b/book.mp4,test
book,07073,https://www.handspeak.com/word/b/books-pile.mp4,train
book,67424,https://youtu.be/3-GrhsVs830,train
book,07074,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,train
book,07075,https://www.youtube.com/watch?v=Kwvw-K6GYW8,train
book,07076,https://www.youtube.com/watch?v=XjWSfh50kAU,train
book,07077,http://www.aslpro.com/main/b/book_accounting.swf,train
book,07078,http://www.aslpro.com/main/b/book_algebra.swf,train
book,07079,http://www.aslpro.com/main/b/book_anatomy.swf,train
book,07080,http://www.aslpro.com/main/b/book_art_history.swf,train
book,07081,http://www.aslpro.com/main/b/book_art.swf,train
book,07082,http://www.aslpro.com/main/b/book_business.swf,train
book,07083,http://www.aslpro.com/main/b/book_chemistry.swf,val
book,07084,http://www.aslpro.com/main/b/book_coloring.swf,train
computer,12306,https://www.youtube.com/watch?v=PPmQd2zWdP0,test
computer,68028,https://www.youtube.com/watch?v=H-tAzh-nuV8,train
computer,69054,https://www.youtube.com/watch?v=YEFd7zsUNXU,train
computer,12328,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,train
computer,12329,https://www.youtube.com/watch?v=97IwdVSOQho,train
computer,12330,https://www.youtube.com/watch?v=cujhpwWi1yY,train
computer,12312,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4,val
computer,12331,https://www.youtube.com/watch?v=fY11M3Dxxx0,train
computer,12332,https://www.youtube.com/watch?v=lVo6MByRMHY,test
computer,12333,https://www.youtube.com/watch?v=-_RSZM-lLXE,val
computer,12335,https://www.youtube.com/watch?v=vK4GwJaDcWU,val
computer,12336,https://www.youtube.com/watch?v=-wmqgdmwySo,test
computer,12311,https://media.spreadthesign.com/video/mp4/13/51378.mp4,train
computer,12337,http://www.aslpro.com/main/c/computer.swf,train
computer,12338,http://www.aslsearch.com/signs/videos/computer.mp4,train
computer,12313,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4,train
computer,12314,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,train
computer,12315,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4,val
computer,12316,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4,train
computer,12317,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4,train
computer,12318,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4,train
computer,12319,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4,train
computer,12320,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4,test
computer,67519,https://youtu.be/u1xoXux2NaE,test
computer,12321,https://www.handspeak.com/word/c/computer-arm2.mp4,train
computer,12322,https://www.handspeak.com/word/c/computer-arm.mp4,train
computer,12323,https://www.handspeak.com/word/c/computer-head.mp4,train
computer,12324,https://www.handspeak.com/word/c/computer-old2.mp4,train
computer,12326,https://www.signingsavvy.com/signs/mp4/6/6011.mp4,val
computer,12327,https://www.signingsavvy.com/signs/mp4/6/6012.mp4,train
go,24857,https://www.youtube.com/watch?v=YdHKN_wHZqo,test
go,69345,http://aslbricks.org/New/ASL-Videos/go.mp4,val
go,68292,https://www.youtube.com/watch?v=7IkKMzvSsFM,train
go,24955,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,train
go,24956,https://www.signingsavvy.com/signs/mp4/23/23401.mp4,train
go,24941,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4,train
