file,label
book_68011.npy,6
book_68012.npy,6
book_69241.npy,6
book_70266.npy,6
book_7068.npy,6
book_7069.npy,6
book_7070.npy,6
book_7074.npy,6
book_7075.npy,6
book_7076.npy,6
computer_12311.npy,0
computer_12313.npy,0
computer_12314.npy,0
computer_12316.npy,0
computer_12317.npy,0
computer_12318.npy,0
computer_12319.npy,0
computer_12327.npy,0
computer_12328.npy,0
computer_12329.npy,0
computer_12330.npy,0
computer_12331.npy,0
computer_68028.npy,0
dog_17076.npy,7
dog_17084.npy,7
dog_17085.npy,7
dog_17086.npy,7
dog_17087.npy,7
dog_17090.npy,7
dog_17091.npy,7
dog_17093.npy,7
dog_17095.npy,7
dog_69298.npy,7
family_20978.npy,5
family_20979.npy,5
family_20980.npy,5
family_20981.npy,5
family_20982.npy,5
family_20983.npy,5
family_20986.npy,5
family_20987.npy,5
family_20988.npy,5
family_20990.npy,5
go_24940.npy,3
go_24941.npy,3
go_24943.npy,3
go_24947.npy,3
go_24954.npy,3
go_24955.npy,3
go_24956.npy,3
go_24961.npy,3
go_24962.npy,3
go_24969.npy,3
go_24970.npy,3
like_33266.npy,2
like_33267.npy,2
like_33269.npy,2
like_33273.npy,2
like_33274.npy,2
like_33277.npy,2
like_33278.npy,2
like_33279.npy,2
like_33281.npy,2
like_33282.npy,2
like_70299.npy,2
mother_36929.npy,1
mother_36930.npy,1
mother_36931.npy,1
mother_36932.npy,1
mother_36933.npy,1
mother_36936.npy,1
mother_36937.npy,1
mother_36938.npy,1
mother_36939.npy,1
mother_36941.npy,1
mother_36942.npy,1
mother_36944.npy,1
now_38990.npy,4
now_38995.npy,4
now_38997.npy,4
now_38999.npy,4
now_39001.npy,4
now_39002.npy,4
now_39003.npy,4
now_39004.npy,4
now_68114.npy,4
now_70345.npy,4
school_49595.npy,8
school_49596.npy,8
school_49597.npy,8
school_49598.npy,8
school_49599.npy,8
school_49600.npy,8
school_49602.npy,8
school_49603.npy,8
school_70207.npy,8
student_55332.npy,9
student_55337.npy,9
student_55338.npy,9
student_55339.npy,9
student_55340.npy,9
student_55341.npy,9
student_55343.npy,9
student_55344.npy,9
student_55345.npy,9
